channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,nir
1673,6082,4671,14863,20368,16300,10066,5615,3176
515,1896,1250,4265,6946,5805,3663,2043,1784
764,2677,1903,7282,13085,10346,5953,3684,2082
352,862,684,1806,2452,2192,1875,1599,3617
972,3558,2529,9332,16661,14835,9673,5080,2879
204,639,464,1093,1739,1350,999,888,1268
951,3622,2464,7971,16128,14623,9327,4837,2103
582,2335,1694,3631,5834,4765,3611,2577,2510
986,4129,2768,8431,16499,14574,9466,4837,2364
554,2228,1513,4598,8410,6302,4211,2813,2161
1162,5121,4246,7022,11236,12526,10141,5229,2174
924,3572,2528,8548,15171,13300,9151,4822,2344
