channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,nir
1090,3107,2409,8394,19333,19747,15097,7711,2385
679,2010,1517,4645,9000,9186,6998,3637,880
3885,11707,9555,24557,51191,53390,41532,20745,6695
3736,12455,9792,24371,48917,50161,39351,19537,5963
950,2411,2028,6499,14145,14307,10636,5550,1020
1831,5160,4011,12881,26818,27125,20634,10341,2754
2041,7411,5160,13401,29013,29354,22383,11864,3118
1222,3545,2701,8306,18308,18694,13956,7286,1951
2980,7159,6442,18598,40382,43466,34827,18284,5995
909,2733,2070,6165,11445,11658,9328,4929,1089
1763,6425,4660,11923,28562,29095,22548,11302,3984
2315,6907,5602,15671,28236,28662,22201,11344,3706
311,853,690,2148,4106,4333,3474,1758,497
